바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
0108806422002514,레가론현탁액 12.6ml x 4포,"5,500",6422002514,6422,00251,8806422002514 ,8806422002514 ,642200251,6422,4,OK
0108806422014241,아락실 8g x 30P,"18,000",6422014241,6422,01424,8806422014241 ,8806422014241 ,642201424,6422,1,OK
0108806422022062,타세놀 8시간 이알 서방정 6정,"1,500",6422022062,6422,02206,8806422022062 ,8806422022062 ,642202206,6422,2,OK
0108806422024813,아락실큐 20T,"3,500",6422024813,6422,02481,8806422024813 ,8806422024813 ,642202481,6422,3,OK
0108806422035116,코리투살에스 노즈시럽 100ml,"2,200",6422035116,6422,03511,8806422035116 ,8806422035116 ,642203511,6422,6,OK
0108806422035222,코리투살에스 코프시럽 100ml,"2,200",6422035222,6422,03522,8806422035222 ,8806422035222 ,642203522,6422,2,OK
0108806422037516,코리투살에스노즈 10C,"1,500",6422037516,6422,03751,8806422037516 ,8806422037516 ,642203751,6422,6,OK
0108806422037615,코리투살에스코프 10C,"1,500",6422037615,6422,03761,8806422037615 ,8806422037615 ,642203761,6422,5,OK
0108806422037714,코리투살에스콜드 10C,"1,500",6422037714,6422,03771,8806422037714 ,8806422037714 ,642203771,6422,4,OK
0108806422038919,타세놀 500mg 10T,"1,500",6422038919,6422,03891,8806422038919 ,8806422038919 ,642203891,6422,9,OK
0108806422044613,코트리나캡슐 10C,"2,000",6422044613,6422,04461,8806422044613 ,8806422044613 ,642204461,6422,3,OK
0108806422045443,헥사메딘액,"3,000",6422045443,6422,04544,8806422045443 ,8806422045443 ,642204544,6422,3,OK
0108806422045528,[부광] 위속엔 20T,"3,000",6422045528,6422,04552,8806422045528 ,8806422045528 ,642204552,6422,8,OK
010880642237615,코리투살에스코프,"1,500",642237615,6422,,880642237615 ,,,,TOO_SHORT,
0108806427035128,판콜에스 내복액 1박스(30ml x 5EA),"2,500",6427035128,6427,03512,8806427035128 ,8806427035128 ,642703512,6427,8,OK
0108806427039515,후시딘겔 10g,"7,000",6427039515,6427,03951,8806427039515 ,8806427039515 ,642703951,6427,5,OK
0108806427039522,후시딘겔(티트리오일) 15g,"9,000",6427039522,6427,03952,8806427039522 ,8806427039522 ,642703952,6427,2,OK
0108806427039713,후시딘 5g,"4,800",6427039713,6427,03971,8806427039713 ,8806427039713 ,642703971,6427,3,OK
0108806427039720,후시딘 10g,"6,500",6427039720,6427,03972,8806427039720 ,8806427039720 ,642703972,6427,0,OK
0108806427069826,바르지오 모두크림 30g,"7,500",6427069826,6427,06982,8806427069826 ,8806427069826 ,642706982,6427,6,OK
0108806427076725,화이투벤 멘톨 0.1% 10ml,"7,500",6427076725,6427,07672,8806427076725 ,8806427076725 ,642707672,6427,5,OK
0108806427076916,화이투벤 0.05%(어린이용) 10ml,"7,500",6427076916,6427,07691,8806427076916 ,8806427076916 ,642707691,6427,6,OK
0108806427077111,동화 알보칠 5ml,"6,000",6427077111,6427,07711,8806427077111 ,8806427077111 ,642707711,6427,1,OK
0108806428003010,덴타포스 10C,"2,000",6428003010,6428,00301,8806428003010 ,8806428003010 ,642800301,6428,0,OK
0108806429062719,세노바퀵 10C,"3,000",6429062719,6429,06271,8806429062719 ,8806429062719 ,642906271,6429,9,OK
0108806432033522,록소앤 롤온타입 50g,"10,000",6432033522,6432,03352,8806432033522 ,8806432033522 ,643203352,6432,2,OK
0108806433016241,아나프록스 10T,"1,500",6433016241,6433,01624,8806433016241 ,8806433016241 ,643301624,6433,1,OK
