바코드,이름,판매가격,파싱문자열,회사코드,품목코드
0108806435042811,슬리펠 25mg 20T,"3,500",6435042811,6435,0428
0108806435062116,코앤 15ml(140회),"7,000",6435062116,6435,0621
0108806435065117,미등록상품,"1,000",6435065117,6435,0651
0108806435065186,장쾌락 15ml x 30P,"17,000",6435065186,6435,0651
0108806435067210,무조날쿨크림 15g,"3,000",6435067210,6435,0672
0108806435067319,코스펜정 10T,"2,000",6435067319,6435,0673
0108806435070913,목앤 스프레이 20ml,"6,500",6435070913,6435,0709
0108806435073914,코앤쿨 20ml,"5,500",6435073914,6435,0739
0108806435074812,까스앤프리 80mg 12T,"4,000",6435074812,6435,0748
0108806435075512,나인나인 100T,"25,000",6435075512,6435,0755
0108806435079411,무조날S 네일라카 6ml,"15,000",6435079411,6435,0794
0108806435080516,두피앤 30ml,"5,000",6435080516,6435,0805
0108806435080813,쎄코론지크림 30g,"3,000",6435080813,6435,0808
0108806436003118,노바손크림 15g,"2,000",6436003118,6436,0031
01088064360331151728081110401945,제놀한방,"2,500",64360331151728081110401945,6436,0331
01088064360498191728051310402467,미등록상품,"2,000",64360498191728051310402467,6436,0498
0108806436066021,아이포레 0.5ml x 30관,"6,000",6436066021,6436,0660
0108806439009018,액티피드정 10C,"3,000",6439009018,6439,0090
0108806439021218,티어실 원스외용액 4.5g,"10,000",6439021218,6439,0212
0108806439038117,티어실 쿨크림 20g,"3,000",6439038117,6439,0381
0108806441004810172711301025137212513701243,에스로반,"2,500",6441004810172711301025137212513701243,6441,0048
0108806441004810172711301025137212513719157,에스로반 10g,"2,500",6441004810172711301025137212513719157,6441,0048
01088064410048651727060810250222,에스로반연고,"3,000",64410048651727060810250222,6441,0048
01088064410048651727060810250232,에스로반,"3,000",64410048651727060810250232,6441,0048
01088064410353331727101710240052170424005000841,징코턴정 240mg 60T,"35,000",64410353331727101710240052170424005000841,6441,0353
0108806445007831,[유유]베노플러스 겔 15g,"8,000",6445007831,6445,0078
0108806445012316,[유유]피지오머 비강세척액 스프레이 노즐(베이비) 115ml,"18,000",6445012316,6445,0123
0108806445012323,피지오머 젯노즐(젠틀) 135ml,"19,500",6445012323,6445,0123
0108806447022283,트라스트패취 30매,"18,000",6447022283,6447,0222
0108806448002215,노비프록스1.5% 100g,"9,000",6448002215,6448,0022
0108806448003113,도미나크림(히드라퀴논4%) 60g,"41,000",6448003113,6448,0031
0108806448003168,도미나크림(히드라퀴논4%) 50g,"40,000",6448003168,6448,0031
0108806448006510,메카인 2T,900,6448006510,6448,0065
0108806448009016,박트리안 10g,"3,000",6448009016,6448,0090
0108806448009412,베이덤 50g,"4,000",6448009412,6448,0094
0108806448009641,벤트락스 20g,"14,000",6448009641,6448,0096
0108806448012313,아비나 10g,"4,000",6448012313,6448,0123
0108806448014713,엘린플러스크림 20g,"4,000",6448014713,6448,0147
0108806448016427,제올라에스액 60g,"4,000",6448016427,6448,0164
0108806448016519,제올라크림 15g,"3,000",6448016519,6448,0165
0108806448016724,[태극] 지스톤 30g,"3,000",6448016724,6448,0167
0108806448022718,아즈렌 에스크림 30g,"5,000",6448022718,6448,0227
0108806448023913,[태극] 케토코나졸 크림 20g,"3,000",6448023913,6448,0239
0108806448028123,파티마겔 2.5% 30g,"5,000",6448028123,6448,0281
0108806448030911,하이로손 20g,"2,500",6448030911,6448,0309
0108806448033028,벤트플라 15g,"7,000",6448033028,6448,0330
0108806448033417,[태극]나프졸 크림 30g,"5,000",6448033417,6448,0334
0108806448039938,이클린탁스130g,"7,000",6448039938,6448,0399
0108806448046622,티트로신 10g,"4,000",6448046622,6448,0466
0108806448055419,목앤탁 30ml,"7,000",6448055419,6448,0554
0108806448057314,[태극] 우레아 60g,"4,500",6448057314,6448,0573
0108806448058823,아크스카클리어 20g,"12,000",6448058823,6448,0588
0108806448063612,아나파베 10T,"2,000",6448063612,6448,0636
0108806448064510,미녹시딜 바이그루트액 3% 200ml,"25,000",6448064510,6448,0645
0108806448064633,미녹시딜 바이그루트액 5% 200ml,"25,000",6448064633,6448,0646
0108806448065821,아크클리어크림 20g,"10,000",6448065821,6448,0658
0108806448066156,도미나 라이트(히드라퀴논2%) 40g,"20,000",6448066156,6448,0661
0108806448067214,메타리빈액 15ml,"6,000",6448067214,6448,0672
0108806453030715,호르반 30ml,"4,000",6453030715,6453,0307
0108806453033839,티어클린(순) 15ml,"3,000",6453033839,6453,0338
0108806453060521,티어클린 0.5ml x 30관,"7,000",6453060521,6453,0605
0108806457011918,탄툼 베르데 네뷸라이저(30ml),"7,000",6457011918,6457,0119
0108806457027919,[삼아] 리도멕스 0.15% 15g,"4,000",6457027919,6457,0279
0108806458039621,[바이넥스] 티나청포르테 점안액 14ml,"3,000",6458039621,6458,0396
0108806470004935,안티포스 10g,"3,000",6470004935,6470,0049
0108806470007110,안티클로크림 5g,"4,000",6470007110,6470,0071
0108806478049129,돌체락 5ml x 20P,"12,000",6478049129,6478,0491
01088064780571241727100310IKMA00,아이스콘 0.5ml x 30관,"7,000",6478057124172710031000,6478,0571
0108806481013247,코졸텍 10T,"1,500",6481013247,6481,0132
0108806481013568,속엔쿨 10T,"1,500",6481013568,6481,0135
0108806481027619,그날엔큐 10T,"2,000",6481027619,6481,0276
0108806481037717,애니메디 5ml,"4,000",6481037717,6481,0377
0108806481044517,[경동] 애니큐어 10g,"2,500",6481044517,6481,0445
0108806481047419,그날엔 더블유 12C,"2,500",6481047419,6481,0474
0108806481049512,코투루텐 20ml,"6,000",6481049512,6481,0495
0108806483002232,포비돈스틱스왑 2p,360,6483002232,6483,0022
0108806486004264,(보령)리메부틴정 10T,"2,000",6486004264,6486,0042
0108806486021711,젠타졸정 2T,800,6486021711,6486,0217
0108806495025311,유니센타액 60V(20ml x 30V x 2EA),"200,000",6495025311,6495,0253
0108806495071325,앗센 20ml x 30V,"50,000",6495071325,6495,0713
0108806495071332,앗센액 20ml x 60V(30V x 2EA),"100,000",6495071332,6495,0713
0108806497006646,지엘 소브레롤 10C,"2,000",6497006646,6497,0066
0108806497024015,애크논 크림 13g,"10,000",6497024015,6497,0240
0108806498018518,[명문]베라스톤크림 20g,"2,500",6498018518,6498,0185
0108806498027015,제나콤정 2T,800,6498027015,6498,0270
0108806498052727,옵트클린 14ml,"3,000",6498052727,6498,0527
0108806516002376,뮤테란과립 200mg,"6,000",6516002376,6516,0023
0108806516014416,에키나포스 프로텍트 정 10T,"5,000",6516014416,6516,0144
0108806519017131,이가탄F 60C,"19,000",6519017131,6519,0171
0108806519041013,메이킨Q 20T,"4,500",6519041013,6519,0410
0108806519041037,메이킨Q 40T,"8,500",6519041037,6519,0410
0108806534029720,위스콘 더블액션 10ml x 4ea,"2,000",6534029720,6534,0297
0108806534049124,리클란 0.5ml x 30관,"9,000",6534049124,6534,0491
