바코드,이름,판매가격,파싱문자열,회사코드,품목코드
8804973304811 ,[마즈] 이클립스 페퍼민트향 34g,"2,900",4973304811,4973,3048
8804973304828 ,[마즈] 이클립스 스피어민트향 34g,"2,900",4973304828,4973,3048
8804973304835 ,[마즈] 이클립스 피치향 34g,"2,900",4973304835,4973,3048
8804973304842 ,[마즈] 이클립스 스트로베리향 34g,"2,900",4973304842,4973,3048
8804973306198 ,[마즈] 몰티져스 다크 37g,"1,500",4973306198,4973,3061
8804973306204 ,[마즈] 몰티져스 밀크 37g,"1,500",4973306204,4973,3062
8804973306488 ,[마즈] 이클립스 쿨링캔디 레몬민트향 45g,"1,500",4973306488,4973,3064
8804973307546 ,[마즈] 이클립스 쿨링캔디 청포도향 45g,"1,500",4973307546,4973,3075
8804973307959 ,[마즈] 이클립스 워터멜론향 30g,"2,900",4973307959,4973,3079
8804973308789 ,[마즈] 이클립스 허브꿀레몬캔디 30g,"3,000",4973308789,4973,3087
8804973308802 ,[마즈] 이클립스 허브배비파캔디 30g,"3,000",4973308802,4973,3088
8805915676119 ,락토핏 생유산균팜 2g x 60P,"13,000",5915676119,5915,6761
8806000001946 ,이지덤뷰티 퀵카밍 6매,"8,000",6000001946,6000,0019
8806001089851 ,루테인 지아잔틴 맥스 120C(60C x 2ea),"60,000",6001089851,6001,0898
8806002008677 ,광동생강쌍화 120ml,"1,000",6002008677,6002,0086
8806002008684 ,[광동] 생강쌍화 1박스(120ml x 10EA),"7,000",6002008684,6002,0086
8806002010878 ,[광동] 헛개파워 1박스(100ml x 10EA),"20,000",6002010878,6002,0108
8806002013817 ,비타500 100ml(1개),600,6002013817,6002,0138
8806002013824 ,비타500 A.C.E. 1박스(100ml x 10EA),"5,000",6002013824,6002,0138
8806002013831 ,비타500 A.C.E 1박스(100ml x 20EA),"10,000",6002013831,6002,0138
8806002015828 ,서주 비타500 젤리 48g,"1,000",6002015828,6002,0158
8806002016214 ,(서주)비타500젤리 48g x 10개입,"10,000",6002016214,6002,0162
8806002025131 ,가네스듀얼샷,"2,000",6002025131,6002,0251
8806002025148 ,가네스 듀얼샷(10개입),"20,000",6002025148,6002,0251
8806006100100 ,엘레나30C,"40,000",6006100100,6006,1001
8806006156107 ,안티푸라민 연고 30g,"2,500",6006156107,6006,1561
8806006156114 ,안티푸라민 연고 60g,"4,500",6006156114,6006,1561
8806006158644 ,센스데이 체크 1Kit,"2,000",6006158644,6006,1586
8806006158651 ,센스데이 얼리체크 1Kit,"3,000",6006158651,6006,1586
8806006158675 ,코로나19 항원자가검사 2EA,"6,000",6006158675,6006,1586
8806006158712 ,매직리얼허브 1호,"8,000",6006158712,6006,1587
8806006158729 ,매직리얼허브 2호,"8,000",6006158729,6006,1587
8806006201098 ,유한 당체크 개인용 혈당검사지 50개입,"15,000",6006201098,6006,2010
8806006201111 ,유한 당체크 측정기세트(측정기1개 + 검사지2개),"30,000",6006201111,6006,2011
8806006207038 ,유한 폴리코사놀5 200mg x 56T,"45,000",6006207038,6006,2070
8806006252151 ,해피홈 제로 바퀴 에어로솔 500ml,"4,000",6006252151,6006,2521
8806006300395 ,해피홈 수성 에어로솔 감귤향 500ml,"3,000",6006300395,6006,3003
8806006300401 ,해피홈 수성 에어로솔 피톤치드향 500ml,"2,500",6006300401,6006,3004
8806006306250 ,유한 루테인 지아잔틴 플러스 60C,"40,000",6006306250,6006,3062
8806006306427 ,유한 알티지 식물성오메가3 120C(60C x 2EA),"63,000",6006306427,6006,3064
8806006308506 ,와이즈바이옴프로 위&장 듀얼케어 30P,"25,000",6006308506,6006,3085
8806011435631 ,박카스맛 젤리 50g,"1,000",6011435631,6011,4356
8806011437086 ,프롬팜 루테인지아잔틴&아스타잔틴 60C,"55,000",6011437086,6011,4370
8806011437802 ,프롬팜 프로바이오틱스&아연 60C,"55,000",6011437802,6011,4378
8806011439967 ,프롬팜 키즈 칼슘챔피언 90T,"30,000",6011439967,6011,4399
8806011441113 ,프롬팜 리스펙타&지노밸런스 60C,"65,000",6011441113,6011,4411
8806011441151 ,프롬팜 싱글맥스 오메가900 120C(60C x 2),"70,000",6011441151,6011,4411
8806011441175 ,프롬팜 싱글맥스 프로바이오틱스 50 60P,"40,000",6011441175,6011,4411
8806011441380 ,프롬팜 포스파티딜세린&메모리포뮬러 60C,"40,000",6011441380,6011,4413
8806011442509 ,박카스맛 젤리 42g,"1,000",6011442509,6011,4425
8806011521310 ,클리덴트RX 48정,"6,500",6011521310,6011,5213
8806011615453 ,박카스D 1박스(100ml x 10EA),"5,700",6011615453,6011,6154
8806011618256 ,박카스 D카페인 1박스(120ml x 10EA),"6,500",6011618256,6011,6182
8806011618263 ,박카스 D카페인 1박스(120ml x 20EA),"13,000",6011618263,6011,6182
8806011820062 ,애크온 딥클렌징폼 100ml,"15,000",6011820062,6011,8200
8806012470228 ,고려은단 비타민씨 1000mg 300T(60T x 5EA),"27,000",6012470228,6012,4702
8806016185258 ,부채표 배도라지쌍화 1박스(120ml x 10EA),"7,500",6016185258,6016,1852
8806016185357 ,부채표 대추생강쌍화 1박스(120ml x 10EA),"6,500",6016185357,6016,1853
8806018703214 ,케어리브 아카키레 20매,"5,000",6018703214,6018,7032
8806018703221 ,케어리브 방수형m20매,"4,500",6018703221,6018,7032
8806018703238 ,케어리브(손끝형),"4,000",6018703238,6018,7032
8806018703245 ,"케어리브(혼합형)(소형,중형,대형)","4,500",6018703245,6018,7032
8806018703252 ,케어리브(중형)20매,"4,000",6018703252,6018,7032
8806018703269 ,케어리브(중형)10매,"2,500",6018703269,6018,7032
8806018704662 ,케어리브(대형),"4,500",6018704662,6018,7046
8806018704679 ,케어리브(관절용),"4,500",6018704679,6018,7046
8806018704990 ,케어리브(소형),"4,500",6018704990,6018,7049
8806018705447 ,케어리브(도트형),"4,500",6018705447,6018,7054
8806018705454 ,케어리브(발뒤꿈치형),"4,500",6018705454,6018,7054
8806018705980 ,메디터치2 2mm폼(5 x 7cm) 3매,"7,000",6018705980,6018,7059
8806018706123 ,메디터치A 1mm폼(4 x 9cm) 3매,"9,000",6018706123,6018,7061
8806018706147 ,메디터치A 1mm폼(10 x 10cm) 1매,"9,000",6018706147,6018,7061
8806018707908 ,메디터치H 썬프로텍션 잘라쓰는타입 2매,"6,000",6018707908,6018,7079
8806018707939 ,케어리브(중형)50매,"8,500",6018707939,6018,7079
8806018709247 ,메디터치H 썬프로텍션 돗트(베벨링) 48매,"6,000",6018709247,6018,7092
8806018709278 ,메디터치 리퀴드 8g,"9,000",6018709278,6018,7092
8806018709773 ,일동 비타민D 2000IU 90C,"15,000",6018709773,6018,7097
8806018710045 ,메디터치A 5mm폼(10 x 10cm) 1매,"10,000",6018710045,6018,7100
8806018711066 ,메디터치 엄마마음 3mm폼 2매,"8,000",6018711066,6018,7110
8806018711233 ,케어리브 카카오(라이언) 12매,"4,500",6018711233,6018,7112
8806018711240 ,케어리브 카카오(어피치) 12매,"4,500",6018711240,6018,7112
8806018711332 ,메디터치 탄력밴드 소형 3매,"7,000",6018711332,6018,7113
8806018711356 ,메디터치 탄력밴드 일반형 7매,"7,000",6018711356,6018,7113
8806018711363 ,메디터치 탄력밴드 중형 3매,"7,500",6018711363,6018,7113
8806018711387 ,메디터치 탄력밴드 혼합형 8매,"8,000",6018711387,6018,7113
8806018712988 ,일동 키즈 플러스 유산균 2g x 30P,"30,000",6018712988,6018,7129
8806018713213 ,일동 베베 플러스 유산균 1.5g x 30P,"30,000",6018713213,6018,7132
8806018714371 ,일동 알티지오메가3 프리미엄 120C(60C x 2),"55,000",6018714371,6018,7143
8806018715781 ,일동쏘팔메토코사놀프리미엄 120C,"60,000",6018715781,6018,7157
8806018717075 ,코큐텐 에이스 프리미엄 120C(60C x 2EA),"60,000",6018717075,6018,7170
8806018717341 ,메디터치 번프로텍션 2mm폼(5 x 7cm) 3매,"9,000",6018717341,6018,7173
8806018717440 ,케어리브 방수 손끝,"4,500",6018717440,6018,7174
8806018717457 ,케어리브 방수M40매,"8,500",6018717457,6018,7174
8806018717464 ,케어리브 방수소형,"5,000",6018717464,6018,7174
8806018717471 ,케어리브 방수L14매,"4,500",6018717471,6018,7174
8806018717891 ,[일동] 글루타치온 화이트85 120T(60T x 2EA),"40,000",6018717891,6018,7178
8806018719079 ,키드큐 키즈플러스 15g x 15P,"22,000",6018719079,6018,7190
8806018719086 ,키드큐 키즈플러스젤리 30P(15g x 15P x 2EA),"40,000",6018719086,6018,7190
8806018719123 ,키드큐 면역젤리 15g x 15P,"22,000",6018719123,6018,7191
88060187191231 ,키드큐 면역젤리 15g x 15포,"20,000",60187191231,6018,7191
8806018719130 ,키드큐 면역젤리 30P(15g x 15P x 2EA),"40,000",6018719130,6018,7191
8806018719154 ,키드큐 비타젤리 15g x 15P,"22,000",6018719154,6018,7191
8806018719161 ,키드큐 비타젤리 30P(15g x 15p x 2EA),"40,000",6018719161,6018,7191
8806018719185 ,키드큐 홍삼젤리 15g x 15P,"23,000",6018719185,6018,7191
8806018719192 ,키드큐 홍삼젤리 30P(15g x 15p x 2EA),"45,000",6018719192,6018,7191
8806018719369 ,[일동] 멜라케어 트리플 60T(30T x 2EA),"30,000",6018719369,6018,7193
8806018719420 ,키드큐 쾌변젤리 20g x 15P,"22,000",6018719420,6018,7194
8806018719437 ,키드큐 쾌변젤리 30P(20g x 15P x 2EA),"40,000",6018719437,6018,7194
8806018719642 ,[일동] 하이퍼 비타민C 3000mg 80P,"35,000",6018719642,6018,7196
8806018719697 ,"리쥬닉 15,000ppm 20ml","30,000",6018719697,6018,7196
8806018719710 ,일동 관절진보원 프리미엄 70ml x 30P,"60,000",6018719710,6018,7197
8806022160591 ,비오킬 500ml,"8,000",6022160591,6022,1605
8806022165213 ,세븐에이트 60g 4호 / 밤색,"8,000",6022165213,6022,1652
8806022165220 ,세븐에이트 60g 5호 / 진한밤색,"8,000",6022165220,6022,1652
8806022165237 ,세븐에이트 60g 6호 / 갈색,"8,000",6022165237,6022,1652
8806022165244 ,세븐에이트 60g 7호 / 흑갈색,"8,000",6022165244,6022,1652
8806022165572 ,세븐에이트 40g 7호 / 흑갈색,"7,000",6022165572,6022,1655
8806022165589 ,세븐에이트 40g 6호 / 갈색,"7,000",6022165589,6022,1655
8806022165596 ,세븐에이트 40g 5호 / 진한밤색,"7,000",6022165596,6022,1655
8806022165602 ,세븐에이트 40g 4호 / 밤색,"7,000",6022165602,6022,1656
8806022169457 ,비오킬 98ML,"7,000",6022169457,6022,1694
8806022173645 ,훼미닌실키 76호 / 다크브라운,"5,000",6022173645,6022,1736
8806022173652 ,훼미닌실키 84호 / 갈색,"5,000",6022173652,6022,1736
8806022173669 ,훼미닌실키 85호 / 진한밤색,"5,000",6022173669,6022,1736
8806022173676 ,훼미닌실키 87호 / 자연흑갈색,"5,000",6022173676,6022,1736
8806022201430 ,허브1호70G,"9,000",6022201430,6022,2014
8806022201447 ,허브2호70G,"9,000",6022201447,6022,2014
8806022202420 ,미녹스샴푸 120ml,"9,000",6022202420,6022,2024
8806022202581 ,허브3호70G,"9,000",6022202581,6022,2025
8806022202680 ,비오킬 휴대용 98ml,"6,000",6022202680,6022,2026
8806035107422 ,멸균에이덤 반창고 혼합형 2EA,"2,000",6035107422,6035,1074
8806037006037 ,[신신] 에어파스F 220ml,"3,000",6037006037,6037,0060
8806037006785 ,[신신] 에어파스F 300ml,"3,500",6037006785,6037,0067
8806037006983 ,뉴쿨링시트 6매,"5,000",6037006983,6037,0069
8806037006990 ,모스키토 아웃도어 에어로솔 100ml,"5,000",6037006990,6037,0069
8806037007171 ,모스키토 밀크에스 50ml,"8,000",6037007171,6037,0071
8806037007195 ,신신제약 쿨링시트 플러스 10P,"8,000",6037007195,6037,0071
8806038400018 ,블레파졸 100ml (부직포 포함),"12,000",6038400018,6038,4000
8806052005817 ,잘크토닉 40ml,"7,000",6052005817,6052,0058
8806052006425 ,허브쵸크에스 20ml*3앰플,"6,000",6052006425,6052,0064
8806052006432 ,허브쵸크에스 20ml*30 앰플,"50,000",6052006432,6052,0064
8806052008412 ,비타잘크톤 피카츄제로(사과맛) 100ml,"1,500",6052008412,6052,0084
8806052008429 ,비타잘크톤 피카츄 제로 100ml x 10개,"15,000",6052008429,6052,0084
8806052008511 ,비타잘크톤 뮤제로(사이다맛) 100ml,"1,500",6052008511,6052,0085
8806052008528 ,비타 잘크톤 뮤제로(사이다맛) 100ml x 10개,"15,000",6052008528,6052,0085
8806052407826 ,[조아] 엉겅퀴 골드 100ml,"2,000",6052407826,6052,4078
8806057912608 ,하이맘폼 잘라쓰는타입 1매,"7,000",6057912608,6057,9126
8806057913193 ,하이맘번 스프레이 50g,"9,500",6057913193,6057,9131
8806057913667 ,하이맘밴드 아쿠아 기본형 20매,"3,000",6057913667,6057,9136
8806057913674 ,하이맘밴드 아쿠아 대형 15매,"3,000",6057913674,6057,9136
8806057913926 ,하이맘폼 5mm폼(10 x 20cm) 1매,"14,000",6057913926,6057,9139
8806057914084 ,원큐 플러스업 1Kit,"3,000",6057914084,6057,9140
8806057915029 ,하이맘번 더프리미엄 표준형 3매,"7,500",6057915029,6057,9150
8806057915036 ,하이맘번 더프리미엄 대형 2매,"9,000",6057915036,6057,9150
8806057915043 ,하이맘밴드 더프리미엄 잘라쓰는타입 2매,"7,000",6057915043,6057,9150
8806057915050 ,하이맘밴드 더프리미엄 대형 4매,"7,000",6057915050,6057,9150
8806057915067 ,하이맘밴드 더프리미엄 소형 6매,"7,000",6057915067,6057,9150
8806057915074 ,하이맘밴드 더프리미엄 일반형 5매,"7,000",6057915074,6057,9150
8806057915081 ,하이맘밴드 더프리미엄 혼합형 6매,"7,000",6057915081,6057,9150
8806057915098 ,하이맘밴드 더프리미엄 원형(베벨링) 60매,"7,000",6057915098,6057,9150
8806057915357 ,하이맘밴드 리퀴드폼 10g,"7,500",6057915357,6057,9153
8806057915456 ,하이맘밴드 더프리미엄 잘라쓰는타입 3매,"9,000",6057915456,6057,9154
8806057915463 ,하이맘밴드 이지베이직 표준형 20매,"1,000",6057915463,6057,9154
8806057915470 ,하이맘밴드 이지베이직 혼합형 20EA,"1,000",6057915470,6057,9154
8806057915494 ,하이맘밴드 이지베이직 대형 15매,"2,000",6057915494,6057,9154
8806102400418 ,"콴첼MSM 1,500mg","25,000",6102400418,6102,4004
8806102872000 ,경남 진태반 프리미엄 20ml x 30V,"60,000",6102872000,6102,8720
8806102875926 ,레모비타 플러스(레몬맛) 120T,"6,000",6102875926,6102,8759
8806102875995 ,레모비타 플러스(딸기맛) 120T,"6,000",6102875995,6102,8759
8806102876503 ,상큼한 비타민 레모나 100ml 1개입,350,6102876503,6102,8765
8806102877050 ,상큼한 비타민 레모나 1박스(100ml x 10EA),"3,000",6102877050,6102,8770
8806102877067 ,상큼한 비타민 레모나 1박스(100ml x 20EA),"6,000",6102877067,6102,8770
8806102878682 ,레모나 구미 레몬맛 43g,"1,000",6102878682,6102,8786
8806102878699 ,레모나 구미(레몬맛) x 10개입,"10,000",6102878699,6102,8786
8806102879368 ,맛있는비타민 레모나 2g x 10P,"2,500",6102879368,6102,8793
8806102879719 ,레모나 구미 복숭아맛 37g,"1,000",6102879719,6102,8797
8806102879726 ,레모나 구미(복숭아맛) x 10개입,"10,000",6102879726,6102,8797
8806102879795 ,레모비타 플러스(복숭아맛) 120T,"6,000",6102879795,6102,8797
8806102879993 ,진태반30v,"60,000",6102879993,6102,8799
8806103600015 ,그린소독용 에탄올60ml,800,6103600015,6103,6000
8806103600046 ,그린제약 소독용 에탄올 250ml,"1,000",6103600046,6103,6000
8806105400866 ,폴리덴트 내추럴(무향) 70g,"8,000",6105400866,6105,4008
8806105401290 ,폴리덴트 5분 퀵플러스 48정,"8,000",6105401290,6105,4012
8806105401764 ,폴리덴트 맥스실 70g,"8,500",6105401764,6105,4017
8806105401825 ,센소다인 후레쉬 120g,"5,000",6105401825,6105,4018
8806105402709 ,폴리덴트 나이트 48정,"8,500",6105402709,6105,4027
8806105402723 ,파로돈탁스 데일리 후로라이드 150g,"6,000",6105402723,6105,4027
8806105402730 ,폴리덴트 후레쉬(민트) 70g,"8,000",6105402730,6105,4027
8806105402808 ,센소다인 멀티케어 120g,"5,500",6105402808,6105,4028
8806105403881 ,센소다인 오리지날 플러스 160g,"6,000",6105403881,6105,4038
8806107614797 ,[한독] 테라큐민 팜플러스100 120T(60Tx2ea),"50,000",6107614797,6107,6147
8806109101523 ,마데카 습윤밴드 키즈 혼합형 10매,"6,000",6109101523,6109,1015
8806109104258 ,마데카 습윤밴드 스팟 138매,"10,000",6109104258,6109,1042
8806109104265 ,마데카밴드 트러블케어 168매,"12,000",6109104265,6109,1042
8806109104500 ,마데카 페이셜 리페어 크림 50ml,"25,000",6109104500,6109,1045
8806109104517 ,마데카 핸드 우레아 크림 50ml,"15,000",6109104517,6109,1045
8806109104524 ,테카플러스 포뮬러 멜라터치 크림 35ml,"35,000",6109104524,6109,1045
8806109107686 ,마데카 피디알엔 농축 앰플 30ml,"43,000",6109107686,6109,1076
8806109184885 ,마데카밴드 트러블케어 스팟형 84매,"8,000",6109184885,6109,1848
8806109189705 ,마데카 습윤밴드 스팟 69매,"6,000",6109189705,6109,1897
8806109194396 ,마데카 습윤밴드 혼합형 6매,"6,000",6109194396,6109,1943
8806109194402 ,마데카 습윤밴드 대형 4매,"6,000",6109194402,6109,1944
8806109194419 ,마데카 습윤밴드 중형 5매,"6,000",6109194419,6109,1944
8806109194426 ,마데카 습윤밴드 소형 6매,"6,000",6109194426,6109,1944
8806109194440 ,마데카 습윤밴드 잘라쓰는타입 3매,"8,000",6109194440,6109,1944
8806113802249 ,성광 칼라민로션 100ml,"4,000",6113802249,6113,8022
8806119821800 ,잘크톤(망고맛) 15g x 30P,"22,000",6119821800,6119,8218
8806119822722 ,잘크톤(블루베리맛) 15g x 30P,"22,000",6119822722,6119,8227
8806124261721 ,에너지 골드 카페인 100ml,"3,000",6124261721,6124,2617
8806124261738 ,에너지 골드 카페인 1박스(100ml x 10EA),"25,000",6124261738,6124,2617
8806124261769 ,에너지 골드 (무카페인) 100mL*1EA,"3,000",6124261769,6124,2617
8806124261776 ,에너지 골드 카페인프리 1박스(100ml x 10EA),"25,000",6124261776,6124,2617
8806124280005 ,프로-캄 판테놀 립 에센스 12g,"6,000",6124280005,6124,2800
8806124280043 ,프로-캄 아크페어 클리어 겔 100mL (10mL 추가증정),"18,000",6124280043,6124,2800
8806124280067 ,프로-캄 클레어진 200mL ( 50mL 추가증정),"11,500",6124280067,6124,2800
8806124280180 ,프로-캄 후시메디 리페어 크림 S 50ml,"13,000",6124280180,6124,2801
8806124280210 ,프로-캄 후시메디 리페어 젤 마스크S 27ml*5,"11,000",6124280210,6124,2802
8806124280241 ,프로-캄 아크페어 폼 클렌저 S 120mL(15mL 추가증정),"13,000",6124280241,6124,2802
8806124280265 ,프로-캄 레드엑스 크림 S 18mL,"12,000",6124280265,6124,2802
8806124280289 ,프로-캄 멜라이트 선 에센스 S 40ml,"14,000",6124280289,6124,2802
8806124280302 ,프로-캄 판테놀 스틱 립밤 S 3.7g,"7,000",6124280302,6124,2803
8806124280432 ,프로-캄 EGF 액티브 바이탈 크림 20mL,"14,000",6124280432,6124,2804
8806124280456 ,프로-캄 멜라 화이트닝 리프팅 세럼 20mL,"18,000",6124280456,6124,2804
8806124280463 ,프로-캄 멜라 화이트닝 퍼밍 세럼 20mL,"18,000",6124280463,6124,2804
8806124280470 ,프로-캄 멜라 화이트닝 모이스처 세럼 20mL,"18,000",6124280470,6124,2804
8806124280524 ,프로-캄 EGF PDRN 액티브 시너지 마스크 3매,"9,000",6124280524,6124,2805
8806125000282 ,새로나크림 10ml - 털 빠짐 케어,"22,000",6125000282,6125,0002
8806125000329 ,멕스탑 4.5ml x 8개,"10,800",6125000329,6125,0003
8806125405032 ,민티크 프레시 민트 플러스 100g,"14,500",6125405032,6125,4050
8806125405100 ,유니덴탈 포르테 100g,"8,000",6125405100,6125,4051
8806129615154 ,메디폼N 10*20cm (5mm)(약국용),"14,000",6129615154,6129,6151
8806129615239 ,메디폼 N-5*7*0.2T,"10,000",6129615239,6129,6152
8806129615246 ,메디폼 N-5*7*0.2T,"10,000",6129615246,6129,6152
8806129615468 ,메디폼 리퀴드-8g[O],"9,000",6129615468,6129,6154
8806129615574 ,메디폼 A-5*7*0.1T,"10,000",6129615574,6129,6155
8806129615581 ,메디폼 A10*10*0.1T,"10,000",6129615581,6129,6155
8806129615598 ,메디폼 실버 플러스-5*7*0.1(3ea),"13,000",6129615598,6129,6155
8806129615604 ,메디폼 실버 플러스-10*10*0.1(1ea),"12,000",6129615604,6129,6156
8806129616021 ,미등록상품,"14,000",6129616021,6129,6160
8806129616120 ,더마터치 울트라플러스 12g,"9,000",6129616120,6129,6161
8806129616182 ,메디폼EGF 스팟패치,"3,000",6129616182,6129,6161
8806129618070 ,메디폼듀얼액션밴드혼합,"10,000",6129618070,6129,6180
8806129620400 ,메디폼 듀얼액션 10*10*0.2T,"11,000",6129620400,6129,6204
8806129620417 ,메디폼 듀얼액션 밴드 혼합형 8매,"10,000",6129620417,6129,6204
8806129675110 ,[NEW] 메디폼 H액티브 10*10cm,"9,000",6129675110,6129,6751
8806129689018 ,메디폼리퀴드,"9,000",6129689018,6129,6890
8806129699154 ,미등록상품,"10,000",6129699154,6129,6991
8806136019914 ,드시모네 베이비 스텝2,"32,000",6136019914,6136,0199
8806136020248 ,드시모네 베이비 스텝1,"27,000",6136020248,6136,0202
8806137510212 ,더마틱스 울트라 15g,"34,900",6137510212,6137,5102
8806137510229 ,더마틱스 울트라 7g,"18,000",6137510229,6137,5102
8806137520242 ,더마틱스 울트라 키즈 7g,"18,000",6137520242,6137,5202
8806139400986 ,조인트 뮤코다당단백1200 120T,"50,000",6139400986,6139,4009
8806140900017 ,[옵투스] 오에수 눈꺼풀 클리너 3ml x 15P,"9,000",6140900017,6140,9000
8806147000765 ,듀오덤 엑스트라씬 2매,"8,000",6147000765,6147,0007
8806218001912 ,에치탑캡슐[한국파비스],"2,000",6218001912,6218,0019
8806218004517 ,아루진정[한국파비스],"1,500",6218004517,6218,0045
8806218039448 ,파비시드240정[광동],"30,000",6218039448,6218,0394
8806228012243 ,이탄돌정 300T,"45,000",6228012243,6228,0122
8806239001212 ,레스타민코와 파우더크림 40g,"7,000",6239001212,6239,0012
8806239001311 ,반테린 코와 EX크림 35g,"7,000",6239001311,6239,0013
8806239001410 ,카베진 12T,"3,000",6239001410,6239,0014
8806239001427 ,카베진 100T,"10,000",6239001427,6239,0014
8806239001441 ,카베진 300T,"22,000",6239001441,6239,0014
8806258017621 ,[일양]모닝퀸 10P,"7,000",6258017621,6258,0176
8806265000203 ,챔프시럽,"4,000",6265000203,6265,0002
8806265001309 ,판피린,"2,500",6265001309,6265,0013
8806265001323 ,판피린큐 1박스(20ml x 5EA),"2,500",6265001323,6265,0013
8806265001729 ,비사진 나잘스프레이 30ml,"9,000",6265001729,6265,0017
8806265002412 ,멜라노사크림 30g,"25,000",6265002412,6265,0024
8806265002801 ,베나치오20ml,"4,000",6265002801,6265,0028
8806265002832 ,베나치오 1박스(20ml x 5EA),"4,000",6265002832,6265,0028
8806265003105 ,노스카나20g,"17,000",6265003105,6265,0031
8806265003433 ,드라이문트겔 50g,"8,000",6265003433,6265,0034
8806265003709 ,터비뉴20g,"5,000",6265003709,6265,0037
8806265003723 ,터비뉴겔 20g,"5,000",6265003723,6265,0037
8806265003877 ,타치온50mg 90T,"25,000",6265003877,6265,0038
8806265008001 ,마이보라,"8,000",6265008001,6265,0080
8806265008018 ,마이보라 21T,"8,000",6265008018,6265,0080
8806265008209 ,멜리안 21정,"6,000",6265008209,6265,0082
8806265008216 ,멜리안 21T,"6,000",6265008216,6265,0082
8806265008506 ,아이봉C,"10,000",6265008506,6265,0085
8806265008513 ,아이봉C 세안액 480ml,"10,000",6265008513,6265,0085
8806265008605 ,아이봉W,"11,000",6265008605,6265,0086
8806265008612 ,아이봉W 세안액 480ml,"11,000",6265008612,6265,0086
8806265008926 ,챔프 시럽 5ml x 10포,"4,000",6265008926,6265,0089
8806265009008 ,챔프이부펜,"4,000",6265009008,6265,0090
8806265009022 ,챔프 이부펜시럽 5ml x 10포,"4,000",6265009022,6265,0090
8806265009701 ,챔프노즈,"4,000",6265009701,6265,0097
8806265009725 ,챔프 노즈시럽 5ml x 10포,"3,000",6265009725,6265,0097
8806265011711 ,이치논 60g,"15,000",6265011711,6265,0117
8806265012008 ,터비뉴원스,"7,000",6265012008,6265,0120
8806265012015 ,터비뉴원스 6g,"7,000",6265012015,6265,0120
8806265012329 ,챔프 코프 5ml x 10포,"3,000",6265012329,6265,0123
8806265013326 ,애크린 외용액 (스프레이) 100ml,"15,000",6265013326,6265,0133
8806265013722 ,터비뉴 더블액션겔 30g,"7,000",6265013722,6265,0137
8806265014323 ,멜라토닝(히드로퀴논2%) 30g,"20,000",6265014323,6265,0143
8806265014330 ,멜라토닝(히드로퀴논2%) 50g,"33,000",6265014330,6265,0143
8806265014507 ,D-판테놀,"8,000",6265014507,6265,0145
8806265014538 ,D-판테놀 50g,"9,000",6265014538,6265,0145
8806265014729 ,리큐번크림 50g,"13,000",6265014729,6265,0147
8806265016617 ,치오맥스 연고 25g,"6,000",6265016617,6265,0166
8806265017317 ,챔푸 구강스프레이 20ml,"8,000",6265017317,6265,0173
8806265017621 ,베나치오 키즈 10ml,"4,500",6265017621,6265,0176
8806265017829 ,챔프 알러논액 5ml x 10포,"4,000",6265017829,6265,0178
8806265018208 ,애크린,"10,000",6265018208,6265,0182
8806265018833 ,아이오쿨 수0.5% 30관,"8,000",6265018833,6265,0188
8806265019144 ,아이오쿨 수1.0% 30관,"9,000",6265019144,6265,0191
8806265019304 ,챔프콜드펜,"4,000",6265019304,6265,0193
8806265019328 ,챔프 콜드펜시럽 5ml x 10포,"4,000",6265019328,6265,0193
8806265019403 ,맥스 콘드로이틴 1200mg,"150,000",6265019403,6265,0194
8806265019724 ,디판셉틱 30g,"9,000",6265019724,6265,0197
8806265019953 ,아이오쿨 프로 (트레할로스) 60관,"13,000",6265019953,6265,0199
8806265020027 ,베나치오 이지액 20ml x 6포,"5,000",6265020027,6265,0200
8806265020416 ,디판버그 30g,"6,000",6265020416,6265,0204
8806265020607 ,챔프콜드펜시럽,"4,000",6265020607,6265,0206
8806265020621 ,챔프 콜드펜 하이시럽 10ml x 10p,"4,500",6265020621,6265,0206
8806265020713 ,카필러스폼 5%(미녹시딜) 60g,"15,000",6265020713,6265,0207
8806265020911 ,디판큐어 30g,"9,000",6265020911,6265,0209
8806265021727 ,이지 퀼나잇액 20ml x 6P,"6,000",6265021727,6265,0217
8806265021826 ,챔큐 비타시럽 5ml x 10P,"8,000",6265021826,6265,0218
8806265021925 ,판피린 나이트 1박스(20ml x 5EA),"3,500",6265021925,6265,0219
8806265022007 ,x베나치오프로액 75ml 1박스(10병),"8,000",6265022007,6265,0220
8806275002518 ,안티렌크림[일양],"4,000",6275002518,6275,0025
880637007195 ,쿨링시트플러스,"8,000",637007195,6370,0719
8806406000222 ,개비스콘 오리지널 10ml x 4P,"4,500",6406000222,6406,0002
8806406000826 ,개비스콘 더블액션 10ml x 4P,"5,000",6406000826,6406,0008
8806406000833 ,개비스콘 더블액션10ml x 12P,"12,000",6406000833,6406,0008
8806406001038 ,스트렙실 허니앤레몬 12T,"4,500",6406001038,6406,0010
8806406001045 ,스트렙실 오렌지 12T,"4,500",6406001045,6406,0010
8806409 030912,우황청심원 사향,"9,000",6409030912,6409,0309
8806409030912 ,[일화] 우황청심원 현탁액(사향) 50ml,"8,000",6409030912,6409,0309
8806411000729 ,바이엘 아스피린500mg 20T,"4,500",6411000729,6411,0007
